Stakeholder name,Lattitude,Longitude,Stakeholder type,Broad stakeholder issue category,Logo link,Website link
Port Phillip EcoCentre,-37.870028,144.982321,Regional group,Other,https://ecocentre.com/sites/all/themes/ecocentre/logo.png,https://ecocentre.com
Yarra Riverkeeper,-37.802729,145.004215,Regional group,Human Activity,https://envic.wpengine.com/wp-content/uploads/2016/07/yarra-riverkeepers.jpg,http://yarrariver.org.au/
FishCare Victoria,-37.815167,144.974379,Regional group,Marine Pests/Biodiversity,https://fishcare.org.au/wp-content/uploads/2019/08/Website-Logo.jpg,https://fishcare.org.au/
The Plastics Lab (RMIT University),-37.807938,144.964473,Research institute/university,Plastics and Litters,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/RMIT_University_Logo.svg/1200px-RMIT_University_Logo.svg.png,https://www.rmit.edu.au/
Werribee River Association Inc.,-37.813720,144.957580,Regional group,Human Activity,https://werribeeriver.org.au/wp-content/uploads/2019/03/wrk_logo2_fin2.png,https://werribeeriver.org.au/
Marine Education Science and Community inc  (MESAC),-37.989261,145.027936,Regional group,Chemical Run Off and Pollution,http://mesac.org.au/wp-content/uploads/2019/01/cropped-MESAC_logo_240x240-50.jpg,http://mesac.org.au/
Coastcare,-37.874398,145.254104,State government,Climate Change,https://www.marineandcoasts.vic.gov.au/__data/assets/image/0020/31556/coastcare.jpg,https://www.marineandcoasts.vic.gov.au/coastal-programs/Coastcare-Victoria
Hobsons Bay Wetlands Centre,-37.877080,144.808180,Local community,Human Activity,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F61624197%2F305651293249%2F2%2Foriginal.png?w=225&auto=format%2Ccompress&q=75&sharp=10&s=d80dd877c1a10c8b83a940d143790211,https://www.hobsonsbaywetlandscentre.org.au/
Canopy of Care,-38.338988,144.745710,Regional group,Management Plans and Protections,https://polperro.com.au/wp-content/uploads/2019/01/polperro.png,https://polperro.com.au/
Polperro Dolphin Swims and Charter Service Pty Ltd,-38.336598,144.744747,Business and education,Marine Pests/Biodiversity,https://polperro.com.au/wp-content/uploads/2019/01/polperro.png,https://polperro.com.au/
Victorian National Parks Association,-37.804909,144.960794,Regional group,Human Activity,https://vnpa.org.au/wp-content/themes/vnpa/assets/dist/img/logo.png,https://vnpa.org.au/
"Department of Environment, Land, Water and Planning / Coastcare Victoria",-37.874396,145.254104,State government,Community Education,https://upload.wikimedia.org/wikipedia/commons/0/05/DELWP_logo_%28cropped%29.png,https://www2.delwp.vic.gov.au/
Rye Community Group Alliance + Rye Coastal Advisory Group ,-38.370504,144.820584,Local community,Chemical Run Off and Pollution,,https://mpcommunity.com.au/user/rye-community-group-alliance/
"Malacological Society of Australasia, Victorian Branch",-37.829707,145.142369,Local community,Human Activity,http://malsocaus.org/testwp/wp-content/uploads/2013/08/cropped-MSALogo_colour_thumbnail.jpg,http://www.malsocaus.org/?page_id=91
Share The Word Design Studio,-38.376202,144.836446,Regional group,Other,https://www.sharetheword.com.au/wp-content/uploads/2015/03/Logo450_111pxl.png,https://www.sharetheword.com.au/
Port Phillip & Westernport CMA,-38.143152,145.120508,State government,Other,https://www.ppwcma.vic.gov.au/wp-content/themes/ppwcma/res/logo.png,https://www.ppwcma.vic.gov.au/
Association of Bayside Municipalities ,-37.813033,144.959726,Local government,Other,https://abm.org.au/wp-content/uploads/2018/05/ABM_logo_01_retina1.jpg,https://abm.org.au/
Blairgowrie Yacht Squadron,-38.359005,144.772917,Regional group,Management Plans and Protections,https://mk0blairgowrieybedwh.kinstacdn.com/wp-content/uploads/2018/10/Blairgowrie-Yacht-Squadron-Logo.png,https://www.bys.asn.au/
City of Greater Geelong,-38.146521,144.365049,Local government,Other,https://orbitgt.com/wp-content/uploads/2019/04/city-of-greater-geelong.png,https://www.geelongaustralia.com.au/environment/default.aspx
Blair Stafford,-37.812275,144.962263,Regional group,Other,,
Blue Wedges ,,,Local community,Chemical Run Off and Pollution,,http://www.bluewedges.org.au/
Marine Response Unit (Melbourne Zoo),-37.787185,144.950724,"Not-for-profit, statutory authority",Other,https://zoosvic-endpoint-website-prod-public.azureedge.net/assets/svg/logos/zoos-victoria--colour.svg?v=1.0.153.241,https://www.zoo.org.au/fighting-extinction/marine-response-unit/
